user,project_name,stars,rating_count,rating_value
kickstarter,android-oss,5005,17587,4.5
wordpress-mobile,WordPress-Android,1904,133330,4.2
nickbutcher,plaid,12138,,
JakeWharton,Telecine,2345,,
kabouzeid,Phonograph,1956,35078,4.4
timusus,Shuttle,1757,82189,4.3
google,santa-tracker-android,1254,64680,4.2
WhisperSystems,Signal-Android,10646,260401,4.6
google,ExoPlayer,11722,,
videolan,vlc,4369,1096329,4.4
esoxjem,MovieGuide,2192,,
Nightonke,CoCoin,2273,,
byoutline,kickmaterial,1573,,
shadowsocks,shadowsocks-android,1446,56343,4.6
google,iosched,17700,22497,4.3
xcc3641,SeeWeather,3324,,
javiersantos,MLManager,960,1614,4.6
afollestad,photo-affix,768,168,4.5
1hakr,AnExplorer,880,790,4.3
frogermcs,InstaMaterial,4862,,
joyoyao,superCleanMaster,1689,,
Swati4star,Travel-Mate,798,10,3.8
vmihalachi,turbo-editor,889,133,4.2
Musenkishi,wally,869,,
wireapp,wire-android,2159,28969,4.1
